Planificador,Tamaño,Drones,Transporters,Locations,Persons,Crates,Goals,Resuelto,Tiempo(s),Coste
fd-lama,22,1,1,22,22,22,22,Sí,1.870755843,5807
fd-sat-fdss2,22,1,1,22,22,22,22,Sí,60.696471395,5610
metric-ff,23,1,1,23,23,23,23,Sí,.201492832,
fd-lama,23,1,1,23,23,23,23,Sí,2.058086274,9276
fd-sat-fdss2,23,1,1,23,23,23,23,Sí,61.249706875,8510
metric-ff,24,1,1,24,24,24,24,Sí,.237657080,
fd-lama,24,1,1,24,24,24,24,Sí,2.062335783,7506
fd-sat-fdss2,24,1,1,24,24,24,24,Sí,60.222167175,7150
metric-ff,25,1,1,25,25,25,25,Sí,.232684927,
fd-lama,25,1,1,25,25,25,25,Sí,2.400222862,9298
fd-sat-fdss2,25,1,1,25,25,25,25,Sí,60.120185019,7588
metric-ff,26,1,1,26,26,26,26,Sí,.166202138,
fd-lama,26,1,1,26,26,26,26,Sí,2.325880208,8908
fd-sat-fdss2,26,1,1,26,26,26,26,Sí,61.388200218,8856
metric-ff,27,1,1,27,27,27,27,Sí,.262583751,
fd-lama,27,1,1,27,27,27,27,Sí,2.948098505,10518
fd-sat-fdss2,27,1,1,27,27,27,27,Sí,61.765879975,9470
metric-ff,28,1,1,28,28,28,28,Sí,.174287663,
fd-lama,28,1,1,28,28,28,28,Sí,2.661038548,7728
fd-sat-fdss2,28,1,1,28,28,28,28,Sí,61.238300823,7582
metric-ff,29,1,1,29,29,29,29,Sí,.354980220,
fd-lama,29,1,1,29,29,29,29,Sí,3.025494954,10497
fd-sat-fdss2,29,1,1,29,29,29,29,Sí,61.945825802,9204
metric-ff,30,1,1,30,30,30,30,Sí,.173491156,
fd-lama,30,1,1,30,30,30,30,Sí,3.395241667,10920
fd-sat-fdss2,30,1,1,30,30,30,30,Sí,61.161113856,10676
metric-ff,31,1,1,31,31,31,31,Sí,.169674464,
fd-lama,31,1,1,31,31,31,31,Sí,3.015536761,10791
fd-sat-fdss2,31,1,1,31,31,31,31,Sí,60.349432833,9864
metric-ff,32,1,1,32,32,32,32,Sí,.186390893,
fd-lama,32,1,1,32,32,32,32,Sí,3.250329087,11904
fd-sat-fdss2,32,1,1,32,32,32,32,Sí,60.543175892,11794
metric-ff,33,1,1,33,33,33,33,Sí,.165274109,
fd-lama,33,1,1,33,33,33,33,Sí,3.909823873,11721
fd-sat-fdss2,33,1,1,33,33,33,33,Sí,60.554367923,11408
metric-ff,34,1,1,34,34,34,34,Sí,.161532775,
fd-lama,34,1,1,34,34,34,34,Sí,4.100089370,12542
fd-sat-fdss2,34,1,1,34,34,34,34,Sí,60.298184589,10842
metric-ff,35,1,1,35,35,35,35,Sí,.181530287,
fd-lama,35,1,1,35,35,35,35,Sí,4.748233589,11454
fd-sat-fdss2,35,1,1,35,35,35,35,Sí,61.187458225,10434
metric-ff,36,1,1,36,36,36,36,Sí,.203883232,
fd-lama,36,1,1,36,36,36,36,Sí,5.204860474,10096
fd-sat-fdss2,36,1,1,36,36,36,36,Sí,61.300902649,9782
metric-ff,37,1,1,37,37,37,37,Sí,.178354896,
fd-lama,37,1,1,37,37,37,37,Sí,4.699004458,12338
fd-sat-fdss2,37,1,1,37,37,37,37,Sí,61.155539202,11718
metric-ff,38,1,1,38,38,38,38,Sí,.197472393,
fd-lama,38,1,1,38,38,38,38,Sí,4.970089301,12969
fd-sat-fdss2,38,1,1,38,38,38,38,Sí,61.302759460,12552
metric-ff,39,1,1,39,39,39,39,Sí,.179339542,
fd-lama,39,1,1,39,39,39,39,Sí,5.435091220,10719
fd-sat-fdss2,39,1,1,39,39,39,39,Sí,61.649969608,10719
metric-ff,40,1,1,40,40,40,40,Sí,.176118185,
fd-lama,40,1,1,40,40,40,40,Sí,5.983527922,14477
fd-sat-fdss2,40,1,1,40,40,40,40,Sí,60.184564563,15803
metric-ff,41,1,1,41,41,41,41,Sí,.225359691,
fd-lama,41,1,1,41,41,41,41,Sí,6.712977924,12041
fd-sat-fdss2,41,1,1,41,41,41,41,Sí,60.585860020,11797
metric-ff,42,1,1,42,42,42,42,Sí,.189446423,
fd-lama,42,1,1,42,42,42,42,Sí,6.505425515,14667
fd-sat-fdss2,42,1,1,42,42,42,42,Sí,60.857450250,14667
metric-ff,43,1,1,43,43,43,43,Sí,.194659267,
fd-lama,43,1,1,43,43,43,43,Sí,7.294707980,14368
fd-sat-fdss2,43,1,1,43,43,43,43,Sí,60.651444882,14349
metric-ff,44,1,1,44,44,44,44,Sí,.217062050,
fd-lama,44,1,1,44,44,44,44,Sí,8.052202260,15141
fd-sat-fdss2,44,1,1,44,44,44,44,Sí,60.973804020,15102
metric-ff,45,1,1,45,45,45,45,Sí,.200023459,
fd-lama,45,1,1,45,45,45,45,Sí,9.189324311,16375
fd-sat-fdss2,45,1,1,45,45,45,45,Sí,61.034902631,17716
metric-ff,46,1,1,46,46,46,46,Sí,.178745949,
fd-lama,46,1,1,46,46,46,46,Sí,7.933696831,14263
fd-sat-fdss2,46,1,1,46,46,46,46,Sí,60.070835145,14812
metric-ff,47,1,1,47,47,47,47,Sí,.250835193,
fd-lama,47,1,1,47,47,47,47,Sí,11.250579447,16222
fd-sat-fdss2,47,1,1,47,47,47,47,Sí,61.387752178,16222
metric-ff,48,1,1,48,48,48,48,Sí,.217995348,
fd-lama,48,1,1,48,48,48,48,Sí,13.553784793,18313
fd-sat-fdss2,48,1,1,48,48,48,48,Sí,59.534143959,18741
metric-ff,49,1,1,49,49,49,49,Sí,.214871356,
fd-lama,49,1,1,49,49,49,49,Sí,10.947345756,15487
fd-sat-fdss2,49,1,1,49,49,49,49,Sí,59.937241359,15296
metric-ff,50,1,1,50,50,50,50,Sí,1.385509787,
fd-lama,50,1,1,50,50,50,50,Sí,12.314977732,16895
fd-sat-fdss2,50,1,1,50,50,50,50,Sí,60.805281346,16839
metric-ff,51,1,1,51,51,51,51,Sí,.201247137,
fd-lama,51,1,1,51,51,51,51,Sí,13.392182182,16533
fd-sat-fdss2,51,1,1,51,51,51,51,Sí,60.462801767,16539
metric-ff,52,1,1,52,52,52,52,Sí,.238436156,
fd-lama,52,1,1,52,52,52,52,Sí,12.015562229,17153
fd-sat-fdss2,52,1,1,52,52,52,52,Sí,60.373005160,17113
metric-ff,53,1,1,53,53,53,53,Sí,.226747522,
fd-lama,53,1,1,53,53,53,53,Sí,17.386022179,18346
fd-sat-fdss2,53,1,1,53,53,53,53,Sí,59.486725768,18233
metric-ff,54,1,1,54,54,54,54,Sí,.204180498,
fd-lama,54,1,1,54,54,54,54,Sí,16.051478349,19792
fd-sat-fdss2,54,1,1,54,54,54,54,Sí,60.584077636,19950
metric-ff,55,1,1,55,55,55,55,Sí,.246480424,
fd-lama,55,1,1,55,55,55,55,Sí,18.238080241,16818
fd-sat-fdss2,55,1,1,55,55,55,55,Sí,59.740287789,15640
metric-ff,56,1,1,56,56,56,56,Sí,.301282748,
fd-lama,56,1,1,56,56,56,56,Sí,24.535224713,22685
fd-sat-fdss2,56,1,1,56,56,56,56,Sí,59.379218096,18606
metric-ff,57,1,1,57,57,57,57,Sí,.249428895,
fd-lama,57,1,1,57,57,57,57,Sí,17.039882801,19623
fd-sat-fdss2,57,1,1,57,57,57,57,Sí,60.383452037,19457
metric-ff,58,1,1,58,58,58,58,Sí,.235360319,
fd-lama,58,1,1,58,58,58,58,Sí,26.901240696,20107
fd-sat-fdss2,58,1,1,58,58,58,58,Sí,58.585497441,18794
metric-ff,59,1,1,59,59,59,59,Sí,.297133633,
fd-lama,59,1,1,59,59,59,59,Sí,23.792484432,17381
